question,sql
"Show the first and last name of all the faculty members who participated in some activity, together with the number of activities they participated in.","SELECT `T1`.`fname`, `T1`.`lname`, COUNT(*), `T1`.`FacID` FROM `Faculty` AS `T1` JOIN `Faculty_participates_in` AS `T2` ON `T1`.`facID` = `T2`.`facID` GROUP BY `T1`.`FacID`"
"What is the first and last name of the faculty members who participated in at least one activity? For each of them, also show the number of activities they participated in.","SELECT `T1`.`fname`, `T1`.`lname`, COUNT(*), `T1`.`FacID` FROM `Faculty` AS `T1` JOIN `Faculty_participates_in` AS `T2` ON `T1`.`facID` = `T2`.`facID` GROUP BY `T1`.`FacID`"
Show all the activity names and the number of faculty involved in each activity.,"SELECT `T1`.`activity_name`, COUNT(*) FROM `Activity` AS `T1` JOIN `Faculty_participates_in` AS `T2` ON `T1`.`actID` = `T2`.`actID` GROUP BY `T1`.`actID`"
How many faculty members participate in each activity? Return the activity names and the number of faculty members.,"SELECT `T1`.`activity_name`, COUNT(*) FROM `Activity` AS `T1` JOIN `Faculty_participates_in` AS `T2` ON `T1`.`actID` = `T2`.`actID` GROUP BY `T1`.`actID`"
What is the first and last name of the faculty participating in the most activities?,"SELECT `T1`.`fname`, `T1`.`lname` FROM `Faculty` AS `T1` JOIN `Faculty_participates_in` AS `T2` ON `T1`.`facID` = `T2`.`facID` GROUP BY `T1`.`FacID` ORDER BY COUNT(*) DESC LIMIT 1"
Find the first and last name of the faculty who is involved in the largest number of activities.,"SELECT `T1`.`fname`, `T1`.`lname` FROM `Faculty` AS `T1` JOIN `Faculty_participates_in` AS `T2` ON `T1`.`facID` = `T2`.`facID` GROUP BY `T1`.`FacID` ORDER BY COUNT(*) DESC LIMIT 1"
What is the name of the activity that has the most faculty members involved in?,SELECT `T1`.`activity_name` FROM `Activity` AS `T1` JOIN `Faculty_participates_in` AS `T2` ON `T1`.`actID` = `T2`.`actID` GROUP BY `T1`.`actID` ORDER BY COUNT(*) DESC LIMIT 1
Which activity has the most faculty members participating in? Find the activity name.,SELECT `T1`.`activity_name` FROM `Activity` AS `T1` JOIN `Faculty_participates_in` AS `T2` ON `T1`.`actID` = `T2`.`actID` GROUP BY `T1`.`actID` ORDER BY COUNT(*) DESC LIMIT 1
Show the ids of the students who don't participate in any activity.,SELECT `StuID` FROM `Student` EXCEPT SELECT `StuID` FROM `Participates_in`
What are the ids of the students who are not involved in any activity,SELECT `StuID` FROM `Student` EXCEPT SELECT `StuID` FROM `Participates_in`
Show the ids for all the students who participate in an activity and are under 20.,SELECT `StuID` FROM `Participates_in` INTERSECT SELECT `StuID` FROM `Student` WHERE `age` < 20
What are the ids of the students who are under 20 years old and are involved in at least one activity.,SELECT `StuID` FROM `Participates_in` INTERSECT SELECT `StuID` FROM `Student` WHERE `age` < 20
What is the first and last name of the student participating in the most activities?,"SELECT `T1`.`fname`, `T1`.`lname` FROM `Student` AS `T1` JOIN `Participates_in` AS `T2` ON `T1`.`StuID` = `T2`.`StuID` GROUP BY `T1`.`StuID` ORDER BY COUNT(*) DESC LIMIT 1"
Tell me the first and last name of the student who has the most activities.,"SELECT `T1`.`fname`, `T1`.`lname` FROM `Student` AS `T1` JOIN `Participates_in` AS `T2` ON `T1`.`StuID` = `T2`.`StuID` GROUP BY `T1`.`StuID` ORDER BY COUNT(*) DESC LIMIT 1"
What is the name of the activity with the most students?,SELECT `T1`.`activity_name` FROM `Activity` AS `T1` JOIN `Participates_in` AS `T2` ON `T1`.`actID` = `T2`.`actID` GROUP BY `T1`.`actID` ORDER BY COUNT(*) DESC LIMIT 1
Find the name of the activity that has the largest number of student participants.,SELECT `T1`.`activity_name` FROM `Activity` AS `T1` JOIN `Participates_in` AS `T2` ON `T1`.`actID` = `T2`.`actID` GROUP BY `T1`.`actID` ORDER BY COUNT(*) DESC LIMIT 1
Find the first names of the faculty members who are playing Canoeing or Kayaking.,SELECT DISTINCT `T1`.`lname` FROM `Faculty` AS `T1` JOIN `Faculty_participates_in` AS `T2` ON `T1`.`facID` = `T2`.`facID` JOIN `activity` AS `T3` ON `T2`.`actid` = `T2`.`actid` WHERE `T3`.`activity_name` = 'Canoeing' OR `T3`.`activity_name` = 'Kayaking'
Which faculty members are playing either Canoeing or Kayaking? Tell me their first names.,SELECT DISTINCT `T1`.`lname` FROM `Faculty` AS `T1` JOIN `Faculty_participates_in` AS `T2` ON `T1`.`facID` = `T2`.`facID` JOIN `activity` AS `T3` ON `T2`.`actid` = `T2`.`actid` WHERE `T3`.`activity_name` = 'Canoeing' OR `T3`.`activity_name` = 'Kayaking'
Find the first names of professors who are not playing Canoeing or Kayaking.,SELECT `lname` FROM `faculty` WHERE `rank` = 'Professor' EXCEPT SELECT DISTINCT `T1`.`lname` FROM `Faculty` AS `T1` JOIN `Faculty_participates_in` AS `T2` ON `T1`.`facID` = `T2`.`facID` JOIN `activity` AS `T3` ON `T2`.`actid` = `T2`.`actid` WHERE `T3`.`activity_name` = 'Canoeing' OR `T3`.`activity_name` = 'Kayaking'
What are the first names of the professors who do not play Canoeing or Kayaking as activities?,SELECT `lname` FROM `faculty` WHERE `rank` = 'Professor' EXCEPT SELECT DISTINCT `T1`.`lname` FROM `Faculty` AS `T1` JOIN `Faculty_participates_in` AS `T2` ON `T1`.`facID` = `T2`.`facID` JOIN `activity` AS `T3` ON `T2`.`actid` = `T2`.`actid` WHERE `T3`.`activity_name` = 'Canoeing' OR `T3`.`activity_name` = 'Kayaking'
Find the first names of the faculty members who participate in Canoeing and Kayaking.,SELECT `T1`.`lname` FROM `Faculty` AS `T1` JOIN `Faculty_participates_in` AS `T2` ON `T1`.`facID` = `T2`.`facID` JOIN `activity` AS `T3` ON `T2`.`actid` = `T2`.`actid` WHERE `T3`.`activity_name` = 'Canoeing' INTERSECT SELECT `T1`.`lname` FROM `Faculty` AS `T1` JOIN `Faculty_participates_in` AS `T2` ON `T1`.`facID` = `T2`.`facID` JOIN `activity` AS `T3` ON `T2`.`actid` = `T2`.`actid` WHERE `T3`.`activity_name` = 'Kayaking'
What are the first names of the faculty members playing both Canoeing and Kayaking?,SELECT `T1`.`lname` FROM `Faculty` AS `T1` JOIN `Faculty_participates_in` AS `T2` ON `T1`.`facID` = `T2`.`facID` JOIN `activity` AS `T3` ON `T2`.`actid` = `T2`.`actid` WHERE `T3`.`activity_name` = 'Canoeing' INTERSECT SELECT `T1`.`lname` FROM `Faculty` AS `T1` JOIN `Faculty_participates_in` AS `T2` ON `T1`.`facID` = `T2`.`facID` JOIN `activity` AS `T3` ON `T2`.`actid` = `T2`.`actid` WHERE `T3`.`activity_name` = 'Kayaking'
Find the ids of the students who participate in Canoeing and Kayaking.,SELECT `T1`.`stuid` FROM `participates_in` AS `T1` JOIN `activity` AS `T2` ON `T2`.`actid` = `T2`.`actid` WHERE `T2`.`activity_name` = 'Canoeing' INTERSECT SELECT `T1`.`stuid` FROM `participates_in` AS `T1` JOIN `activity` AS `T2` ON `T2`.`actid` = `T2`.`actid` WHERE `T2`.`activity_name` = 'Kayaking'
Which students participate in both Canoeing and Kayaking as their activities? Tell me their student ids.,SELECT `T1`.`stuid` FROM `participates_in` AS `T1` JOIN `activity` AS `T2` ON `T2`.`actid` = `T2`.`actid` WHERE `T2`.`activity_name` = 'Canoeing' INTERSECT SELECT `T1`.`stuid` FROM `participates_in` AS `T1` JOIN `activity` AS `T2` ON `T2`.`actid` = `T2`.`actid` WHERE `T2`.`activity_name` = 'Kayaking'
