question,sql
What are the different names for all songs that have a higher resolution than English songs?,SELECT DISTINCT `song_name` FROM `song` WHERE `resolution` > (SELECT MIN(`resolution`) FROM `song` WHERE `languages` = `english`)
What are the names of all songs that have a lower rating than some song of blues genre?,SELECT `song_name` FROM `song` WHERE `rating` < (SELECT MAX(`rating`) FROM `song` WHERE `genre_is` = `blues`)
What are the names of the songs that have a lower rating than at least one blues song?,SELECT `song_name` FROM `song` WHERE `rating` < (SELECT MAX(`rating`) FROM `song` WHERE `genre_is` = `blues`)
"What is the name and country of origin of the artist who released a song that has ""love"" in its title?","SELECT `T1`.`artist_name`, `T1`.`country` FROM `artist` AS `T1` JOIN `song` AS `T2` ON `T1`.`artist_name` = `T2`.`artist_name` WHERE `T2`.`song_name` LIKE `%love%`"
"What are the names of the artists who released a song that has the word love in its title, and where are the artists from?","SELECT `T1`.`artist_name`, `T1`.`country` FROM `artist` AS `T1` JOIN `song` AS `T2` ON `T1`.`artist_name` = `T2`.`artist_name` WHERE `T2`.`song_name` LIKE `%love%`"
List the name and gender for all artists who released songs in March.,"SELECT `T1`.`artist_name`, `T1`.`gender` FROM `artist` AS `T1` JOIN `song` AS `T2` ON `T1`.`artist_name` = `T2`.`artist_name` WHERE `T2`.`releasedate` LIKE `%Mar%`"
What are the names and genders of all artists who released songs in the month of March?,"SELECT `T1`.`artist_name`, `T1`.`gender` FROM `artist` AS `T1` JOIN `song` AS `T2` ON `T1`.`artist_name` = `T2`.`artist_name` WHERE `T2`.`releasedate` LIKE `%Mar%`"
"List the names of all genres in alphabetical oder, together with its ratings.","SELECT `g_name`, `rating` FROM `genre` ORDER BY `g_name`"
"What are the names of all genres in alphabetical order, combined with its ratings?","SELECT `g_name`, `rating` FROM `genre` ORDER BY `g_name`"
Give me a list of the names of all songs ordered by their resolution.,SELECT `song_name` FROM `song` ORDER BY `resolution`
What are the names of all songs that are ordered by their resolution numbers?,SELECT `song_name` FROM `song` ORDER BY `resolution`
What are the ids of songs that are available in either mp4 format or have resolution above 720?,SELECT `f_id` FROM `files` WHERE `formats` = `mp4` UNION SELECT `f_id` FROM `song` WHERE `resolution` > 720
What are the ids of all songs that are available on mp4 or have a higher resolution than 720?,SELECT `f_id` FROM `files` WHERE `formats` = `mp4` UNION SELECT `f_id` FROM `song` WHERE `resolution` > 720
List the names of all songs that have 4 minute duration or are in English.,SELECT `T2`.`song_name` FROM `files` AS `T1` JOIN `song` AS `T2` ON `T1`.`f_id` = `T2`.`f_id` WHERE `T1`.`duration` LIKE `4:%` UNION SELECT `song_name` FROM `song` WHERE `languages` = `english`
What are the names of all songs that are approximately 4 minutes long or are in English?,SELECT `T2`.`song_name` FROM `files` AS `T1` JOIN `song` AS `T2` ON `T1`.`f_id` = `T2`.`f_id` WHERE `T1`.`duration` LIKE `4:%` UNION SELECT `song_name` FROM `song` WHERE `languages` = `english`
What is the language used most often in the songs?,SELECT `languages` FROM `song` GROUP BY `languages` ORDER BY COUNT(*) DESC LIMIT 1
What are the languages that are used most often in songs?,SELECT `languages` FROM `song` GROUP BY `languages` ORDER BY COUNT(*) DESC LIMIT 1
What is the language that was used most often in songs with resolution above 500?,SELECT `artist_name` FROM `song` WHERE `resolution` > 500 GROUP BY `languages` ORDER BY COUNT(*) DESC LIMIT 1
"What is the name of the artist, for each language, that has the most songs with a higher resolution than 500?",SELECT `artist_name` FROM `song` WHERE `resolution` > 500 GROUP BY `languages` ORDER BY COUNT(*) DESC LIMIT 1
What are the names of artists who are Male and are from UK?,SELECT `artist_name` FROM `artist` WHERE `country` = `UK` AND `gender` = `Male`
What are the names of all male British artists?,SELECT `artist_name` FROM `artist` WHERE `country` = `UK` AND `gender` = `Male`
Find the names of songs whose genre is modern or language is English.,SELECT `song_name` FROM `song` WHERE `genre_is` = `modern` OR `languages` = `english`
What are the names of the songs that are modern or sung in English?,SELECT `song_name` FROM `song` WHERE `genre_is` = `modern` OR `languages` = `english`
Return the names of songs for which format is mp3 and resolution is below 1000.,SELECT `T2`.`song_name` FROM `files` AS `T1` JOIN `song` AS `T2` ON `T1`.`f_id` = `T2`.`f_id` WHERE `T1`.`formats` = `mp3` INTERSECT SELECT `song_name` FROM `song` WHERE `resolution` < 1000
What are the names of all songs that are in mp3 format and have a resolution lower than 1000?,SELECT `T2`.`song_name` FROM `files` AS `T1` JOIN `song` AS `T2` ON `T1`.`f_id` = `T2`.`f_id` WHERE `T1`.`formats` = `mp3` INTERSECT SELECT `song_name` FROM `song` WHERE `resolution` < 1000
Return the names of singers who are from UK and released an English song.,SELECT `artist_name` FROM `artist` WHERE `country` = `UK` INTERSECT SELECT `T1`.`artist_name` FROM `artist` AS `T1` JOIN `song` AS `T2` ON `T1`.`artist_name` = `T2`.`artist_name` WHERE `T2`.`languages` = `english`
What are the names of all singers that are from the UK and released a song in English?,SELECT `artist_name` FROM `artist` WHERE `country` = `UK` INTERSECT SELECT `T1`.`artist_name` FROM `artist` AS `T1` JOIN `song` AS `T2` ON `T1`.`artist_name` = `T2`.`artist_name` WHERE `T2`.`languages` = `english`
What are the average rating and resolution of songs that are in Bangla?,"SELECT AVG(`rating`), AVG(`resolution`) FROM `song` WHERE `languages` = `bangla`"
What is the average rating and resolution of all bangla songs?,"SELECT AVG(`rating`), AVG(`resolution`) FROM `song` WHERE `languages` = `bangla`"
What are the maximum and minimum resolution of songs whose duration is 3 minutes?,"SELECT MAX(`T2`.`resolution`), MIN(`T2`.`resolution`) FROM `files` AS `T1` JOIN `song` AS `T2` ON `T1`.`f_id` = `T2`.`f_id` WHERE `T1`.`duration` LIKE `3:%`"
What is the maximum and minimum resolution of all songs that are approximately 3 minutes long?,"SELECT MAX(`T2`.`resolution`), MIN(`T2`.`resolution`) FROM `files` AS `T1` JOIN `song` AS `T2` ON `T1`.`f_id` = `T2`.`f_id` WHERE `T1`.`duration` LIKE `3:%`"
What are the maximum duration and resolution of songs grouped and ordered by languages?,"SELECT MAX(`T1`.`duration`), MAX(`T2`.`resolution`), `T2`.`languages` FROM `files` AS `T1` JOIN `song` AS `T2` ON `T1`.`f_id` = `T2`.`f_id` GROUP BY `T2`.`languages` ORDER BY `T2`.`languages`"
"What are the maximum duration and resolution of all songs, for each language, ordered alphabetically by language?","SELECT MAX(`T1`.`duration`), MAX(`T2`.`resolution`), `T2`.`languages` FROM `files` AS `T1` JOIN `song` AS `T2` ON `T1`.`f_id` = `T2`.`f_id` GROUP BY `T2`.`languages` ORDER BY `T2`.`languages`"
What are the shortest duration and lowest rating of songs grouped by genre and ordered by genre?,"SELECT MIN(`T1`.`duration`), MIN(`T2`.`rating`), `T2`.`genre_is` FROM `files` AS `T1` JOIN `song` AS `T2` ON `T1`.`f_id` = `T2`.`f_id` GROUP BY `T2`.`genre_is` ORDER BY `T2`.`genre_is`"
"What is the shortest and most poorly rated song for each genre, ordered alphabetically by genre?","SELECT MIN(`T1`.`duration`), MIN(`T2`.`rating`), `T2`.`genre_is` FROM `files` AS `T1` JOIN `song` AS `T2` ON `T1`.`f_id` = `T2`.`f_id` GROUP BY `T2`.`genre_is` ORDER BY `T2`.`genre_is`"
Find the names and number of works of all artists who have at least one English songs.,"SELECT `T1`.`artist_name`, COUNT(*) FROM `artist` AS `T1` JOIN `song` AS `T2` ON `T1`.`artist_name` = `T2`.`artist_name` WHERE `T2`.`languages` = `english` GROUP BY `T2`.`artist_name` HAVING COUNT(*) >= 1"
What are the names and number of works for all artists who have sung at least one song in English?,"SELECT `T1`.`artist_name`, COUNT(*) FROM `artist` AS `T1` JOIN `song` AS `T2` ON `T1`.`artist_name` = `T2`.`artist_name` WHERE `T2`.`languages` = `english` GROUP BY `T2`.`artist_name` HAVING COUNT(*) >= 1"
Find the name and country of origin for all artists who have release at least one song of resolution above 900.,"SELECT `T1`.`artist_name`, `T1`.`country` FROM `artist` AS `T1` JOIN `song` AS `T2` ON `T1`.`artist_name` = `T2`.`artist_name` WHERE `T2`.`resolution` > 900 GROUP BY `T2`.`artist_name` HAVING COUNT(*) >= 1"
What is the name and country of origin for each artist who has released a song with a resolution higher than 900?,"SELECT `T1`.`artist_name`, `T1`.`country` FROM `artist` AS `T1` JOIN `song` AS `T2` ON `T1`.`artist_name` = `T2`.`artist_name` WHERE `T2`.`resolution` > 900 GROUP BY `T2`.`artist_name` HAVING COUNT(*) >= 1"
Find the names and number of works of the three artists who have produced the most songs.,"SELECT `T1`.`artist_name`, COUNT(*) FROM `artist` AS `T1` JOIN `song` AS `T2` ON `T1`.`artist_name` = `T2`.`artist_name` GROUP BY `T2`.`artist_name` ORDER BY COUNT(*) DESC LIMIT 3"
"What are the names of the three artists who have produced the most songs, and how many works did they produce?","SELECT `T1`.`artist_name`, COUNT(*) FROM `artist` AS `T1` JOIN `song` AS `T2` ON `T1`.`artist_name` = `T2`.`artist_name` GROUP BY `T2`.`artist_name` ORDER BY COUNT(*) DESC LIMIT 3"
Find the country of origin for the artist who made the least number of songs?,SELECT `T1`.`country` FROM `artist` AS `T1` JOIN `song` AS `T2` ON `T1`.`artist_name` = `T2`.`artist_name` GROUP BY `T2`.`artist_name` ORDER BY COUNT(*) LIMIT 1
What country is the artist who made the fewest songs from?,SELECT `T1`.`country` FROM `artist` AS `T1` JOIN `song` AS `T2` ON `T1`.`artist_name` = `T2`.`artist_name` GROUP BY `T2`.`artist_name` ORDER BY COUNT(*) LIMIT 1
What are the names of the songs whose rating is below the rating of all songs in English?,SELECT `song_name` FROM `song` WHERE `rating` < (SELECT MIN(`rating`) FROM `song` WHERE `languages` = 'english')
What are the song names for every song whose rating is less than the minimum rating for English songs?,SELECT `song_name` FROM `song` WHERE `rating` < (SELECT MIN(`rating`) FROM `song` WHERE `languages` = 'english')
What is ids of the songs whose resolution is higher than the resolution of any songs with rating lower than 8?,SELECT `f_id` FROM `song` WHERE `resolution` > (SELECT MAX(`resolution`) FROM `song` WHERE `rating` < 8)
What is the id of every song that has a resolution higher than that of a song with a rating below 8?,SELECT `f_id` FROM `song` WHERE `resolution` > (SELECT MAX(`resolution`) FROM `song` WHERE `rating` < 8)
What is ids of the songs whose resolution is higher than the average resolution of songs in modern genre?,SELECT `f_id` FROM `song` WHERE `resolution` > (SELECT AVG(`resolution`) FROM `song` WHERE `genre_is` = `modern`)
What are the ids of all songs that have higher resolution of the average resolution in the modern genre?,SELECT `f_id` FROM `song` WHERE `resolution` > (SELECT AVG(`resolution`) FROM `song` WHERE `genre_is` = `modern`)
Find the top 3 artists who have the largest number of songs works whose language is Bangla.,SELECT `T1`.`artist_name` FROM `artist` AS `T1` JOIN `song` AS `T2` ON `T1`.`artist_name` = `T2`.`artist_name` WHERE `T2`.`languages` = `bangla` GROUP BY `T2`.`artist_name` ORDER BY COUNT(*) DESC LIMIT 3
What are the top 3 artists with the largest number of songs in the language Bangla?,SELECT `T1`.`artist_name` FROM `artist` AS `T1` JOIN `song` AS `T2` ON `T1`.`artist_name` = `T2`.`artist_name` WHERE `T2`.`languages` = `bangla` GROUP BY `T2`.`artist_name` ORDER BY COUNT(*) DESC LIMIT 3
"List the id, genre and artist name of English songs ordered by rating.","SELECT `f_id`, `genre_is`, `artist_name` FROM `song` WHERE `languages` = `english` ORDER BY `rating`"
"What is the id, genre, and name of the artist for every English song ordered by ascending rating?","SELECT `f_id`, `genre_is`, `artist_name` FROM `song` WHERE `languages` = `english` ORDER BY `rating`"
"List the duration, file size and format of songs whose genre is pop, ordered by title?","SELECT `T1`.`duration`, `T1`.`file_size`, `T1`.`formats` FROM `files` AS `T1` JOIN `song` AS `T2` ON `T1`.`f_id` = `T2`.`f_id` WHERE `T2`.`genre_is` = `pop` ORDER BY `T2`.`song_name`"
"What is the duration, file size, and song format for every pop song, ordered by title alphabetically?","SELECT `T1`.`duration`, `T1`.`file_size`, `T1`.`formats` FROM `files` AS `T1` JOIN `song` AS `T2` ON `T1`.`f_id` = `T2`.`f_id` WHERE `T2`.`genre_is` = `pop` ORDER BY `T2`.`song_name`"
Find the names of the artists who have produced English songs but have never received rating higher than 8.,SELECT DISTINCT `artist_name` FROM `song` WHERE `languages` = `english` EXCEPT SELECT DISTINCT `artist_name` FROM `song` WHERE `rating` > 8
What are the names of the different artists that have produced a song in English but have never receieved a rating higher than 8?,SELECT DISTINCT `artist_name` FROM `song` WHERE `languages` = `english` EXCEPT SELECT DISTINCT `artist_name` FROM `song` WHERE `rating` > 8
Find the names of the artists who are from Bangladesh and have never received rating higher than 7.,SELECT DISTINCT `artist_name` FROM `artist` WHERE `country` = `Bangladesh` EXCEPT SELECT DISTINCT `artist_name` FROM `song` WHERE `rating` > 7
What are the names of the different artists from Bangladesh who never received a rating higher than a 7?,SELECT DISTINCT `artist_name` FROM `artist` WHERE `country` = `Bangladesh` EXCEPT SELECT DISTINCT `artist_name` FROM `song` WHERE `rating` > 7
