question,sql
What are the dates of ceremony at music festivals corresponding to volumes that lasted more than 2 weeks on top?,SELECT `T1`.`Date_of_ceremony` FROM `music_festival` AS `T1` JOIN `volume` AS `T2` ON `T1`.`Volume` = `T2`.`Volume_ID` WHERE `T2`.`Weeks_on_Top` > 2
"Please show the songs that have result ""nominated"" at music festivals.",SELECT `T2`.`Song` FROM `music_festival` AS `T1` JOIN `volume` AS `T2` ON `T1`.`Volume` = `T2`.`Volume_ID` WHERE `T1`.`Result` = `Nominated`
What are the songs in volumes that have resulted in a nomination at music festivals?,SELECT `T2`.`Song` FROM `music_festival` AS `T1` JOIN `volume` AS `T2` ON `T1`.`Volume` = `T2`.`Volume_ID` WHERE `T1`.`Result` = `Nominated`
"What are the issue dates of volumes associated with the artist ""Gorgoroth""?",SELECT `T2`.`Issue_Date` FROM `artist` AS `T1` JOIN `volume` AS `T2` ON `T1`.`Artist_ID` = `T2`.`Artist_ID` WHERE `T1`.`Artist` = `Gorgoroth`
Return the issue dates of volumes that are by the artist named Gorgoroth.,SELECT `T2`.`Issue_Date` FROM `artist` AS `T1` JOIN `volume` AS `T2` ON `T1`.`Artist_ID` = `T2`.`Artist_ID` WHERE `T1`.`Artist` = `Gorgoroth`
What are the songs in volumes associated with the artist aged 32 or older?,SELECT `T2`.`Song` FROM `artist` AS `T1` JOIN `volume` AS `T2` ON `T1`.`Artist_ID` = `T2`.`Artist_ID` WHERE `T1`.`age` >= 32
Return names of songs in volumes that are by artists that are at least 32 years old.,SELECT `T2`.`Song` FROM `artist` AS `T1` JOIN `volume` AS `T2` ON `T1`.`Artist_ID` = `T2`.`Artist_ID` WHERE `T1`.`age` >= 32
What is the average weeks on top of volumes associated with the artist aged 25 or younger?,SELECT AVG(`T2`.`Weeks_on_Top`) FROM `artist` AS `T1` JOIN `volume` AS `T2` ON `T1`.`Artist_ID` = `T2`.`Artist_ID` WHERE `T1`.`age` <= 25
Return the average number of weeks on top for volumes by artists that are at most 25 years old.,SELECT AVG(`T2`.`Weeks_on_Top`) FROM `artist` AS `T1` JOIN `volume` AS `T2` ON `T1`.`Artist_ID` = `T2`.`Artist_ID` WHERE `T1`.`age` <= 25
What are the famous title of the artists associated with volumes with more than 2 weeks on top?,SELECT `T1`.`Famous_Title` FROM `artist` AS `T1` JOIN `volume` AS `T2` ON `T1`.`Artist_ID` = `T2`.`Artist_ID` WHERE `T2`.`Weeks_on_Top` > 2
Return the famous titles for artists that have volumes that lasted more than 2 weeks on top.,SELECT `T1`.`Famous_Title` FROM `artist` AS `T1` JOIN `volume` AS `T2` ON `T1`.`Artist_ID` = `T2`.`Artist_ID` WHERE `T2`.`Weeks_on_Top` > 2
Please list the age and famous title of artists in descending order of age.,"SELECT `Famous_Title`, `Age` FROM `artist` ORDER BY `Age` DESC"
"What are the famous titles and ages of each artist, listed in descending order by age?","SELECT `Famous_Title`, `Age` FROM `artist` ORDER BY `Age` DESC"
What is the famous release date of the artist with the oldest age?,SELECT `Famous_Release_date` FROM `artist` ORDER BY `Age` DESC LIMIT 1
Return the famous release date for the oldest artist.,SELECT `Famous_Release_date` FROM `artist` ORDER BY `Age` DESC LIMIT 1
Please show the categories of the music festivals and the count.,"SELECT `Category`, COUNT(*) FROM `music_festival` GROUP BY `Category`"
Return the number of music festivals of each category.,"SELECT `Category`, COUNT(*) FROM `music_festival` GROUP BY `Category`"
What is the most common result of the music festival?,SELECT `RESULT` FROM `music_festival` GROUP BY `RESULT` ORDER BY COUNT(*) DESC LIMIT 1
Return the result that is most frequent at music festivals.,SELECT `RESULT` FROM `music_festival` GROUP BY `RESULT` ORDER BY COUNT(*) DESC LIMIT 1
Please show the categories of the music festivals with count more than 1.,SELECT `Category` FROM `music_festival` GROUP BY `Category` HAVING COUNT(*) > 1
What are the categories of music festivals for which there have been more than 1 music festival?,SELECT `Category` FROM `music_festival` GROUP BY `Category` HAVING COUNT(*) > 1
What is the song in the volume with the maximum weeks on top?,SELECT `Song` FROM `volume` ORDER BY `Weeks_on_Top` DESC LIMIT 1
Return the song in the volume that has spent the most weeks on top?,SELECT `Song` FROM `volume` ORDER BY `Weeks_on_Top` DESC LIMIT 1
Find the famous titles of artists that do not have any volume.,SELECT `Famous_Title` FROM `artist` WHERE NOT `Artist_ID` IN (SELECT `Artist_ID` FROM `volume`)
What are the famous titles of artists who do not have any volumes?,SELECT `Famous_Title` FROM `artist` WHERE NOT `Artist_ID` IN (SELECT `Artist_ID` FROM `volume`)
Show the famous titles of the artists with both volumes that lasted more than 2 weeks on top and volumes that lasted less than 2 weeks on top.,SELECT `T1`.`Famous_Title` FROM `artist` AS `T1` JOIN `volume` AS `T2` ON `T1`.`Artist_ID` = `T2`.`Artist_ID` WHERE `T2`.`Weeks_on_Top` > 2 INTERSECT SELECT `T1`.`Famous_Title` FROM `artist` AS `T1` JOIN `volume` AS `T2` ON `T1`.`Artist_ID` = `T2`.`Artist_ID` WHERE `T2`.`Weeks_on_Top` < 2
What are the famous titles of artists who have not only had volumes that spent more than 2 weeks on top but also volumes that spent less than 2 weeks on top?,SELECT `T1`.`Famous_Title` FROM `artist` AS `T1` JOIN `volume` AS `T2` ON `T1`.`Artist_ID` = `T2`.`Artist_ID` WHERE `T2`.`Weeks_on_Top` > 2 INTERSECT SELECT `T1`.`Famous_Title` FROM `artist` AS `T1` JOIN `volume` AS `T2` ON `T1`.`Artist_ID` = `T2`.`Artist_ID` WHERE `T2`.`Weeks_on_Top` < 2
"What are the date of ceremony of music festivals with category ""Best Song"" and result ""Awarded""?",SELECT `Date_of_ceremony` FROM `music_festival` WHERE `Category` = `Best Song` AND `RESULT` = `Awarded`
"Return the dates of ceremony corresponding to music festivals that had the category ""Best Song"" and result ""Awarded"".",SELECT `Date_of_ceremony` FROM `music_festival` WHERE `Category` = `Best Song` AND `RESULT` = `Awarded`
What is the issue date of the volume with the minimum weeks on top?,SELECT `Issue_Date` FROM `volume` ORDER BY `Weeks_on_Top` ASC LIMIT 1
Return the issue date of the volume that has spent the fewest weeks on top.,SELECT `Issue_Date` FROM `volume` ORDER BY `Weeks_on_Top` ASC LIMIT 1
How many distinct artists have volumes?,SELECT COUNT(DISTINCT `Artist_ID`) FROM `volume`
Count the number of artists who have had volumes.,SELECT COUNT(DISTINCT `Artist_ID`) FROM `volume`
"Please show the results of music festivals and the number of music festivals that have had each, ordered by this count.","SELECT `RESULT`, COUNT(*) FROM `music_festival` GROUP BY `RESULT` ORDER BY COUNT(*) DESC"
"How many music festivals have had each kind of result, ordered descending by count?","SELECT `RESULT`, COUNT(*) FROM `music_festival` GROUP BY `RESULT` ORDER BY COUNT(*) DESC"
What are the issue dates of volumes associated with the artist aged 23 or younger?,SELECT `Issue_Date` FROM `artist` AS `T1` JOIN `volume` AS `T2` ON `T1`.`Artist_ID` = `T2`.`Artist_ID` WHERE `T1`.`age` <= 23
Return the issue dates of volumes by artists who are at most 23 years old?,SELECT `Issue_Date` FROM `artist` AS `T1` JOIN `volume` AS `T2` ON `T1`.`Artist_ID` = `T2`.`Artist_ID` WHERE `T1`.`age` <= 23
