player_id,award_id,year,league_id,tie,notes
chaseha01,Baseball Magazine All-Star,1910,ML,NULL,1B
lajoina01,Baseball Magazine All-Star,1910,ML,NULL,2B
devliar01,Baseball Magazine All-Star,1910,ML,NULL,3B
gibsoge01,Baseball Magazine All-Star,1910,ML,NULL,C1
archeji01,Baseball Magazine All-Star,1910,ML,NULL,C2
speaktr01,Baseball Magazine All-Star,1910,ML,NULL,CF
mageesh01,Baseball Magazine All-Star,1910,ML,NULL,LF
walshed01,Baseball Magazine All-Star,1910,ML,NULL,P1
mathech01,Baseball Magazine All-Star,1910,ML,NULL,P2
coombja01,Baseball Magazine All-Star,1910,ML,NULL,P3
bendech01,Baseball Magazine All-Star,1910,ML,NULL,P4
johnswa01,Baseball Magazine All-Star,1910,ML,NULL,P5
cobbty01,Baseball Magazine All-Star,1910,ML,NULL,RF
wagneho01,Baseball Magazine All-Star,1910,ML,NULL,SS
chancfr01,Baseball Magazine All-Star,1910,NL,NULL,1B
eversjo01,Baseball Magazine All-Star,1910,NL,NULL,2B
devliar01,Baseball Magazine All-Star,1910,NL,NULL,3B
gibsoge01,Baseball Magazine All-Star,1910,NL,NULL,C1
archeji01,Baseball Magazine All-Star,1910,NL,NULL,C2
leachto01,Baseball Magazine All-Star,1910,NL,NULL,CF
mageesh01,Baseball Magazine All-Star,1910,NL,NULL,LF
mathech01,Baseball Magazine All-Star,1910,NL,NULL,P1
ruckena01,Baseball Magazine All-Star,1910,NL,NULL,P2
coleki01,Baseball Magazine All-Star,1910,NL,NULL,P3
schulfr01,Baseball Magazine All-Star,1910,NL,NULL,RF
wagneho01,Baseball Magazine All-Star,1910,NL,NULL,SS
chaseha01,Baseball Magazine All-Star,1911,AL,NULL,1B
collied01,Baseball Magazine All-Star,1911,AL,NULL,2B
bakerfr01,Baseball Magazine All-Star,1911,AL,NULL,3B
thomair01,Baseball Magazine All-Star,1911,AL,NULL,C1
carribi02,Baseball Magazine All-Star,1911,AL,NULL,C2
stanaos01,Baseball Magazine All-Star,1911,AL,NULL,C3
cobbty01,Baseball Magazine All-Star,1911,AL,NULL,CF
crawfsa01,Baseball Magazine All-Star,1911,AL,NULL,LF
johnswa01,Baseball Magazine All-Star,1911,AL,NULL,P1
walshed01,Baseball Magazine All-Star,1911,AL,NULL,P2
greggve01,Baseball Magazine All-Star,1911,AL,NULL,P3
bendech01,Baseball Magazine All-Star,1911,AL,NULL,P4
coombja01,Baseball Magazine All-Star,1911,AL,NULL,P5
jacksjo01,Baseball Magazine All-Star,1911,AL,NULL,RF
bushdo01,Baseball Magazine All-Star,1911,AL,NULL,SS
chaseha01,Baseball Magazine All-Star,1911,ML,NULL,1B
collied01,Baseball Magazine All-Star,1911,ML,NULL,2B
bakerfr01,Baseball Magazine All-Star,1911,ML,NULL,3B
bresnro01,Baseball Magazine All-Star,1911,ML,NULL,C1
dooinre01,Baseball Magazine All-Star,1911,ML,NULL,C2
meyerch01,Baseball Magazine All-Star,1911,ML,NULL,C3
thomair01,Baseball Magazine All-Star,1911,ML,NULL,C4
cobbty01,Baseball Magazine All-Star,1911,ML,NULL,CF
clarkfr01,Baseball Magazine All-Star,1911,ML,NULL,LF
johnswa01,Baseball Magazine All-Star,1911,ML,NULL,P2
mathech01,Baseball Magazine All-Star,1911,ML,NULL,P2
alexape01,Baseball Magazine All-Star,1911,ML,NULL,P3
greggve01,Baseball Magazine All-Star,1911,ML,NULL,P4
ruckena01,Baseball Magazine All-Star,1911,ML,NULL,P5
walshed01,Baseball Magazine All-Star,1911,ML,NULL,P6
jacksjo01,Baseball Magazine All-Star,1911,ML,NULL,RF
wagneho01,Baseball Magazine All-Star,1911,ML,NULL,SS
daubeja01,Baseball Magazine All-Star,1911,NL,NULL,1B
doylela01,Baseball Magazine All-Star,1911,NL,NULL,2B
loberha01,Baseball Magazine All-Star,1911,NL,NULL,3B
bresnro01,Baseball Magazine All-Star,1911,NL,NULL,C1
dooinre01,Baseball Magazine All-Star,1911,NL,NULL,C2
meyerch01,Baseball Magazine All-Star,1911,NL,NULL,C3
archeji01,Baseball Magazine All-Star,1911,NL,NULL,C4
donlimi01,Baseball Magazine All-Star,1911,NL,NULL,CF
clarkfr01,Baseball Magazine All-Star,1911,NL,NULL,LF
mathech01,Baseball Magazine All-Star,1911,NL,NULL,P1
marquru01,Baseball Magazine All-Star,1911,NL,NULL,P2
alexape01,Baseball Magazine All-Star,1911,NL,NULL,P3
ruckena01,Baseball Magazine All-Star,1911,NL,NULL,P4
schulfr01,Baseball Magazine All-Star,1911,NL,NULL,RF
wagneho01,Baseball Magazine All-Star,1911,NL,NULL,SS
cobbty01,Most Valuable Player,1911,AL,NULL,NULL
schulfr01,Most Valuable Player,1911,NL,NULL,NULL
mcinnst01,Baseball Magazine All-Star,1912,AL,NULL,1B
collied01,Baseball Magazine All-Star,1912,AL,NULL,2B
gardnla01,Baseball Magazine All-Star,1912,AL,NULL,3B
stanaos01,Baseball Magazine All-Star,1912,AL,NULL,C1
ainsmed01,Baseball Magazine All-Star,1912,AL,NULL,C2
cobbty01,Baseball Magazine All-Star,1912,AL,NULL,OF
jacksjo01,Baseball Magazine All-Star,1912,AL,NULL,OF
speaktr01,Baseball Magazine All-Star,1912,AL,NULL,OF
johnswa01,Baseball Magazine All-Star,1912,AL,NULL,P1
woodjo02,Baseball Magazine All-Star,1912,AL,NULL,P2
planked01,Baseball Magazine All-Star,1912,AL,NULL,P3
wagnehe01,Baseball Magazine All-Star,1912,AL,NULL,SS
daubeja01,Baseball Magazine All-Star,1912,ML,NULL,1B
eversjo01,Baseball Magazine All-Star,1912,ML,NULL,2B
zimmehe01,Baseball Magazine All-Star,1912,ML,NULL,3B
archeji01,Baseball Magazine All-Star,1912,ML,NULL,C1
meyerch01,Baseball Magazine All-Star,1912,ML,NULL,C2
cobbty01,Baseball Magazine All-Star,1912,ML,NULL,OF
jacksjo01,Baseball Magazine All-Star,1912,ML,NULL,OF
speaktr01,Baseball Magazine All-Star,1912,ML,NULL,OF
johnswa01,Baseball Magazine All-Star,1912,ML,NULL,P1
woodjo02,Baseball Magazine All-Star,1912,ML,NULL,P1
ruckena01,Baseball Magazine All-Star,1912,ML,NULL,P2
wagneho01,Baseball Magazine All-Star,1912,ML,NULL,SS
daubeja01,Baseball Magazine All-Star,1912,NL,NULL,1B
eversjo01,Baseball Magazine All-Star,1912,NL,NULL,2B
zimmehe01,Baseball Magazine All-Star,1912,NL,NULL,3B
archeji01,Baseball Magazine All-Star,1912,NL,NULL,C1
meyerch01,Baseball Magazine All-Star,1912,NL,NULL,C2
mageesh01,Baseball Magazine All-Star,1912,NL,NULL,OF
paskedo01,Baseball Magazine All-Star,1912,NL,NULL,OF
wilsoch01,Baseball Magazine All-Star,1912,NL,NULL,OF
tesreje01,Baseball Magazine All-Star,1912,NL,NULL,P1
mathech01,Baseball Magazine All-Star,1912,NL,NULL,P2
ruckena01,Baseball Magazine All-Star,1912,NL,NULL,P3
wagneho01,Baseball Magazine All-Star,1912,NL,NULL,SS
speaktr01,Most Valuable Player,1912,AL,NULL,NULL
doylela01,Most Valuable Player,1912,NL,NULL,NULL
mcinnst01,Baseball Magazine All-Star,1913,AL,NULL,1B
collied01,Baseball Magazine All-Star,1913,AL,NULL,2B
bakerfr01,Baseball Magazine All-Star,1913,AL,NULL,3B
schanwa01,Baseball Magazine All-Star,1913,AL,NULL,C
cobbty01,Baseball Magazine All-Star,1913,AL,NULL,OF
jacksjo01,Baseball Magazine All-Star,1913,AL,NULL,OF
speaktr01,Baseball Magazine All-Star,1913,AL,NULL,OF
johnswa01,Baseball Magazine All-Star,1913,AL,NULL,P1
falkecy01,Baseball Magazine All-Star,1913,AL,NULL,P2
barryja01,Baseball Magazine All-Star,1913,AL,NULL,SS
daubeja01,Baseball Magazine All-Star,1913,ML,NULL,1B
collied01,Baseball Magazine All-Star,1913,ML,NULL,2B
bakerfr01,Baseball Magazine All-Star,1913,ML,NULL,3B
archeji01,Baseball Magazine All-Star,1913,ML,NULL,C
cobbty01,Baseball Magazine All-Star,1913,ML,NULL,OF
jacksjo01,Baseball Magazine All-Star,1913,ML,NULL,OF
speaktr01,Baseball Magazine All-Star,1913,ML,NULL,OF
johnswa01,Baseball Magazine All-Star,1913,ML,NULL,P1
mathech01,Baseball Magazine All-Star,1913,ML,NULL,P2
wagneho01,Baseball Magazine All-Star,1913,ML,NULL,SS
daubeja01,Baseball Magazine All-Star,1913,NL,NULL,1B
vioxji01,Baseball Magazine All-Star,1913,NL,NULL,2B
zimmehe01,Baseball Magazine All-Star,1913,NL,NULL,3B
archeji01,Baseball Magazine All-Star,1913,NL,NULL,C
cravaga01,Baseball Magazine All-Star,1913,NL,NULL,OF
leachto01,Baseball Magazine All-Star,1913,NL,NULL,OF
wheatza01,Baseball Magazine All-Star,1913,NL,NULL,OF
mathech01,Baseball Magazine All-Star,1913,NL,NULL,P1
alexape01,Baseball Magazine All-Star,1913,NL,NULL,P2
wagneho01,Baseball Magazine All-Star,1913,NL,NULL,SS
johnswa01,Most Valuable Player,1913,AL,NULL,NULL
daubeja01,Most Valuable Player,1913,NL,NULL,NULL
johnswa01,Pitching Triple Crown,1913,AL,NULL,NULL
mcinnst01,Baseball Magazine All-Star,1914,AL,NULL,1B
collied01,Baseball Magazine All-Star,1914,AL,NULL,2B
bakerfr01,Baseball Magazine All-Star,1914,AL,NULL,3B
schanwa01,Baseball Magazine All-Star,1914,AL,NULL,C1
schalra01,Baseball Magazine All-Star,1914,AL,NULL,C2
cobbty01,Baseball Magazine All-Star,1914,AL,NULL,OF
jacksjo01,Baseball Magazine All-Star,1914,AL,NULL,OF
speaktr01,Baseball Magazine All-Star,1914,AL,NULL,OF
johnswa01,Baseball Magazine All-Star,1914,AL,NULL,P1
leonadu01,Baseball Magazine All-Star,1914,AL,NULL,P2
planked01,Baseball Magazine All-Star,1914,AL,NULL,P3
barryja01,Baseball Magazine All-Star,1914,AL,NULL,SS
daubeja01,Baseball Magazine All-Star,1914,ML,NULL,1B
collied01,Baseball Magazine All-Star,1914,ML,NULL,2B
bakerfr01,Baseball Magazine All-Star,1914,ML,NULL,3B
archeji01,Baseball Magazine All-Star,1914,ML,NULL,C1
schanwa01,Baseball Magazine All-Star,1914,ML,NULL,C2
cobbty01,Baseball Magazine All-Star,1914,ML,NULL,OF
jacksjo01,Baseball Magazine All-Star,1914,ML,NULL,OF
speaktr01,Baseball Magazine All-Star,1914,ML,NULL,OF
alexape01,Baseball Magazine All-Star,1914,ML,NULL,P1
mathech01,Baseball Magazine All-Star,1914,ML,NULL,P2
johnswa01,Baseball Magazine All-Star,1914,ML,NULL,P3
maranra01,Baseball Magazine All-Star,1914,ML,NULL,SS
daubeja01,Baseball Magazine All-Star,1914,NL,NULL,1B
eversjo01,Baseball Magazine All-Star,1914,NL,NULL,2B
loberha01,Baseball Magazine All-Star,1914,NL,NULL,3B
archeji01,Baseball Magazine All-Star,1914,NL,NULL,C1
wingoiv01,Baseball Magazine All-Star,1914,NL,NULL,C2
burnsge01,Baseball Magazine All-Star,1914,NL,NULL,OF
mageesh01,Baseball Magazine All-Star,1914,NL,NULL,OF
wheatza01,Baseball Magazine All-Star,1914,NL,NULL,OF
alexape01,Baseball Magazine All-Star,1914,NL,NULL,P1
mathech01,Baseball Magazine All-Star,1914,NL,NULL,P2
jamesbi02,Baseball Magazine All-Star,1914,NL,NULL,P3
maranra01,Baseball Magazine All-Star,1914,NL,NULL,SS
collied01,Most Valuable Player,1914,AL,NULL,NULL
eversjo01,Most Valuable Player,1914,NL,NULL,NULL
mcinnst01,Baseball Magazine All-Star,1915,AL,NULL,1B
collied01,Baseball Magazine All-Star,1915,AL,NULL,2B
maisefr01,Baseball Magazine All-Star,1915,AL,NULL,3B
schalra01,Baseball Magazine All-Star,1915,AL,NULL,C
speaktr01,Baseball Magazine All-Star,1915,AL,NULL,CF
cobbty01,Baseball Magazine All-Star,1915,AL,NULL,LF
johnswa01,Baseball Magazine All-Star,1915,AL,NULL,P1
scottji01,Baseball Magazine All-Star,1915,AL,NULL,P2
crawfsa01,Baseball Magazine All-Star,1915,AL,NULL,RF
bushdo01,Baseball Magazine All-Star,1915,AL,NULL,SS
mcinnst01,Baseball Magazine All-Star,1915,ML,NULL,1B
collied01,Baseball Magazine All-Star,1915,ML,NULL,2B
grohhe01,Baseball Magazine All-Star,1915,ML,NULL,3B
snydefr01,Baseball Magazine All-Star,1915,ML,NULL,C
speaktr01,Baseball Magazine All-Star,1915,ML,NULL,CF
cobbty01,Baseball Magazine All-Star,1915,ML,NULL,LF
alexape01,Baseball Magazine All-Star,1915,ML,NULL,P1
johnswa01,Baseball Magazine All-Star,1915,ML,NULL,P2
crawfsa01,Baseball Magazine All-Star,1915,ML,NULL,RF
bancrda01,Baseball Magazine All-Star,1915,ML,NULL,SS
saiervi01,Baseball Magazine All-Star,1915,NL,NULL,1B
doylela01,Baseball Magazine All-Star,1915,NL,NULL,2B
grohhe01,Baseball Magazine All-Star,1915,NL,NULL,3B
snydefr01,Baseball Magazine All-Star,1915,NL,NULL,C
willicy01,Baseball Magazine All-Star,1915,NL,NULL,CF
wheatza01,Baseball Magazine All-Star,1915,NL,NULL,LF
alexape01,Baseball Magazine All-Star,1915,NL,NULL,P1
mamaual01,Baseball Magazine All-Star,1915,NL,NULL,P2
cravaga01,Baseball Magazine All-Star,1915,NL,NULL,RF
bancrda01,Baseball Magazine All-Star,1915,NL,NULL,SS
alexape01,Pitching Triple Crown,1915,NL,NULL,NULL
sislege01,Baseball Magazine All-Star,1916,AL,NULL,1B
collied01,Baseball Magazine All-Star,1916,AL,NULL,2B
gardnla01,Baseball Magazine All-Star,1916,AL,NULL,3B
schalra01,Baseball Magazine All-Star,1916,AL,NULL,C
cobbty01,Baseball Magazine All-Star,1916,AL,NULL,OF
jacksjo01,Baseball Magazine All-Star,1916,AL,NULL,OF
speaktr01,Baseball Magazine All-Star,1916,AL,NULL,OF
johnswa01,Baseball Magazine All-Star,1916,AL,NULL,P1
ruthba01,Baseball Magazine All-Star,1916,AL,NULL,P2
bushdo01,Baseball Magazine All-Star,1916,AL,NULL,SS
daubeja01,Baseball Magazine All-Star,1916,ML,NULL,1B
collied01,Baseball Magazine All-Star,1916,ML,NULL,2B
gardnla01,Baseball Magazine All-Star,1916,ML,NULL,3B
schalra01,Baseball Magazine All-Star,1916,ML,NULL,C
cobbty01,Baseball Magazine All-Star,1916,ML,NULL,OF
jacksjo01,Baseball Magazine All-Star,1916,ML,NULL,OF
speaktr01,Baseball Magazine All-Star,1916,ML,NULL,OF
alexape01,Baseball Magazine All-Star,1916,ML,NULL,P1
johnswa01,Baseball Magazine All-Star,1916,ML,NULL,P2
maranra01,Baseball Magazine All-Star,1916,ML,NULL,SS
daubeja01,Baseball Magazine All-Star,1916,NL,NULL,1B
herzobu01,Baseball Magazine All-Star,1916,NL,NULL,2B
hornsro01,Baseball Magazine All-Star,1916,NL,NULL,3B
gowdyha01,Baseball Magazine All-Star,1916,NL,NULL,C
roberda01,Baseball Magazine All-Star,1916,NL,NULL,OF
wheatza01,Baseball Magazine All-Star,1916,NL,NULL,OF
willicy01,Baseball Magazine All-Star,1916,NL,NULL,OF
alexape01,Baseball Magazine All-Star,1916,NL,NULL,P1
mamaual01,Baseball Magazine All-Star,1916,NL,NULL,P2
maranra01,Baseball Magazine All-Star,1916,NL,NULL,SS
alexape01,Pitching Triple Crown,1916,NL,NULL,NULL
sislege01,Baseball Magazine All-Star,1917,AL,NULL,1B
collied01,Baseball Magazine All-Star,1917,AL,NULL,2B
weavebu01,Baseball Magazine All-Star,1917,AL,NULL,3B
schalra01,Baseball Magazine All-Star,1917,AL,NULL,C
cobbty01,Baseball Magazine All-Star,1917,AL,NULL,OF
felscha01,Baseball Magazine All-Star,1917,AL,NULL,OF
speaktr01,Baseball Magazine All-Star,1917,AL,NULL,OF
johnswa01,Baseball Magazine All-Star,1917,AL,NULL,P1
cicoted01,Baseball Magazine All-Star,1917,AL,NULL,P2
chapmra01,Baseball Magazine All-Star,1917,AL,NULL,SS
sislege01,Baseball Magazine All-Star,1917,ML,NULL,1B
collied01,Baseball Magazine All-Star,1917,ML,NULL,2B
zimmehe01,Baseball Magazine All-Star,1917,ML,NULL,3B
killebi01,Baseball Magazine All-Star,1917,ML,NULL,C
cobbty01,Baseball Magazine All-Star,1917,ML,NULL,OF
roushed01,Baseball Magazine All-Star,1917,ML,NULL,OF
speaktr01,Baseball Magazine All-Star,1917,ML,NULL,OF
alexape01,Baseball Magazine All-Star,1917,ML,NULL,P1
johnswa01,Baseball Magazine All-Star,1917,ML,NULL,P2
chapmra01,Baseball Magazine All-Star,1917,ML,NULL,SS
chaseha01,Baseball Magazine All-Star,1917,NL,NULL,1B
herzobu01,Baseball Magazine All-Star,1917,NL,NULL,2B
zimmehe01,Baseball Magazine All-Star,1917,NL,NULL,3B
killebi01,Baseball Magazine All-Star,1917,NL,NULL,C
burnsge01,Baseball Magazine All-Star,1917,NL,NULL,OF
careyma01,Baseball Magazine All-Star,1917,NL,NULL,OF
roushed01,Baseball Magazine All-Star,1917,NL,NULL,OF
alexape01,Baseball Magazine All-Star,1917,NL,NULL,P1
coopewi01,Baseball Magazine All-Star,1917,NL,NULL,P2
maranra01,Baseball Magazine All-Star,1917,NL,NULL,SS
sislege01,Baseball Magazine All-Star,1918,AL,NULL,1B
collied01,Baseball Magazine All-Star,1918,AL,NULL,2B
bakerfr01,Baseball Magazine All-Star,1918,AL,NULL,3B
oneilst01,Baseball Magazine All-Star,1918,AL,NULL,C
cobbty01,Baseball Magazine All-Star,1918,AL,NULL,OF
hoopeha01,Baseball Magazine All-Star,1918,AL,NULL,OF
speaktr01,Baseball Magazine All-Star,1918,AL,NULL,OF
ruthba01,Baseball Magazine All-Star,1918,AL,NULL,P1
johnswa01,Baseball Magazine All-Star,1918,AL,NULL,P2
chapmra01,Baseball Magazine All-Star,1918,AL,NULL,SS
sislege01,Baseball Magazine All-Star,1918,ML,NULL,1B
collied01,Baseball Magazine All-Star,1918,ML,NULL,2B
grohhe01,Baseball Magazine All-Star,1918,ML,NULL,3B
killebi01,Baseball Magazine All-Star,1918,ML,NULL,C
cobbty01,Baseball Magazine All-Star,1918,ML,NULL,OF
roushed01,Baseball Magazine All-Star,1918,ML,NULL,OF
speaktr01,Baseball Magazine All-Star,1918,ML,NULL,OF
ruthba01,Baseball Magazine All-Star,1918,ML,NULL,P1
johnswa01,Baseball Magazine All-Star,1918,ML,NULL,P2
vaughhi01,Baseball Magazine All-Star,1918,ML,NULL,P3
holloch01,Baseball Magazine All-Star,1918,ML,NULL,SS
daubeja01,Baseball Magazine All-Star,1918,NL,NULL,1B
cutshge01,Baseball Magazine All-Star,1918,NL,NULL,2B
grohhe01,Baseball Magazine All-Star,1918,NL,NULL,3B
killebi01,Baseball Magazine All-Star,1918,NL,NULL,C
burnsge01,Baseball Magazine All-Star,1918,NL,NULL,OF
roushed01,Baseball Magazine All-Star,1918,NL,NULL,OF
wheatza01,Baseball Magazine All-Star,1918,NL,NULL,OF
vaughhi01,Baseball Magazine All-Star,1918,NL,NULL,P1
grimebu01,Baseball Magazine All-Star,1918,NL,NULL,P2
holloch01,Baseball Magazine All-Star,1918,NL,NULL,SS
johnswa01,Pitching Triple Crown,1918,AL,NULL,NULL
vaughhi01,Pitching Triple Crown,1918,NL,NULL,NULL
sislege01,Baseball Magazine All-Star,1919,AL,NULL,1B
collied01,Baseball Magazine All-Star,1919,AL,NULL,2B
weavebu01,Baseball Magazine All-Star,1919,AL,NULL,3B
oneilst01,Baseball Magazine All-Star,1919,AL,NULL,C
cobbty01,Baseball Magazine All-Star,1919,AL,NULL,OF
jacksjo01,Baseball Magazine All-Star,1919,AL,NULL,OF
ruthba01,Baseball Magazine All-Star,1919,AL,NULL,OF
johnswa01,Baseball Magazine All-Star,1919,AL,NULL,P1
cicoted01,Baseball Magazine All-Star,1919,AL,NULL,P2
peckiro01,Baseball Magazine All-Star,1919,AL,NULL,SS
sislege01,Baseball Magazine All-Star,1919,ML,NULL,1B
collied01,Baseball Magazine All-Star,1919,ML,NULL,2B
grohhe01,Baseball Magazine All-Star,1919,ML,NULL,3B
oneilst01,Baseball Magazine All-Star,1919,ML,NULL,C
cobbty01,Baseball Magazine All-Star,1919,ML,NULL,OF
roushed01,Baseball Magazine All-Star,1919,ML,NULL,OF
ruthba01,Baseball Magazine All-Star,1919,ML,NULL,OF
johnswa01,Baseball Magazine All-Star,1919,ML,NULL,P1
